id_master,descripcion_master,tipo_master,diametro_master,largo_master,grado_master,acabado_master,id_proveedor,tipo_proveedor,diametro_proveedor,largo_proveedor,grado_proveedor,acabado_proveedor,precio_unitario,proveedor,descripcion_proveedor,score_atributos,score_descripcion,score_final
APC250Z,ARANDELA PLANA COMUN 1 ZINC,arandela,,,,zinc,PLA-00--0--1000-1--2,arandela,,,,zinc,7412.0,Borroni,ARANDELA PLANA - 1 ZA,100.0,91.43,96.57
APC500Z,ARANDELA PLANA COMUN 2 ZINC,arandela,,,,zinc,PLA-00--0--1000-2--2,arandela,,,,zinc,7274.0,Borroni,ARANDELA PLANA - 2 ZA,100.0,91.43,96.57
APC375Z,ARANDELA PLANA COMUN 1 1/2 ZINC,arandela,1 1/2,,,zinc,PLA-00--0--1102-1--2,arandela,1 1/2,,,zinc,7274.0,Borroni,ARANDELA PLANA - 1 1/2 ZA,100.0,93.02,97.21
APC315Z,ARANDELA PLANA COMUN 1 1/4 ZINC,arandela,1 1/4,,,zinc,PLA-00--0--1104-1--2,arandela,1 1/4,,,zinc,7412.0,Borroni,ARANDELA PLANA - 1 1/4 ZA,100.0,93.02,97.21
APC281Z,ARANDELA PLANA COMUN 1 1/8 ZINC,arandela,1 1/8,,,zinc,PLA-00--0--1108-1--2,arandela,1 1/8,,,zinc,7412.0,Borroni,ARANDELA PLANA - 1 1/8 ZA,100.0,93.02,97.21
APC440Z,ARANDELA PLANA COMUN 1 3/4 ZINC,arandela,1 3/4,,,zinc,PLA-00--0--1304-1--2,arandela,1 3/4,,,zinc,7274.0,Borroni,ARANDELA PLANA - 1 3/4 ZA,100.0,93.02,97.21
APC345Z,ARANDELA PLANA COMUN 1 3/8 ZINC,arandela,1 3/8,,,zinc,PLA-00--0--1308-1--2,arandela,1 3/8,,,zinc,7274.0,Borroni,ARANDELA PLANA - 1 3/8 ZA,100.0,93.02,97.21
BHG2NC065025Z,BULON HEXAGONAL G2 1/4-UNC-1 ZINC,bulón,1/4,1,G2,zinc,CAR-G2--1--104--100--RT--1--1,bulón,1/4,1,G2,zinc,55.6189,Borroni,BU CAR G2 - 1/4 x 1  ZA,100.0,66.67,86.67
BHG2NC065025Z,BULON HEXAGONAL G2 1/4-UNC-1 ZINC,bulón,1/4,1,G2,zinc,CAR-G2--1--104--100--RT--2--1,bulón,1/4,1,G2,,55.6189,Borroni,BU CAR G2 - 1/4 x 1  ZD,100.0,66.67,86.67
BHG2NC065025Z,BULON HEXAGONAL G2 1/4-UNC-1 ZINC,bulón,1/4,1,G2,zinc,CAR-G2--1--104--114--RT--1--1,bulón,1/4,1 1/4,G2,zinc,66.0208,Borroni,BU CAR G2 - 1/4 x 1 1/4  ZA,82.35,66.67,76.08
BHG2NC065025Z,BULON HEXAGONAL G2 1/4-UNC-1 ZINC,bulón,1/4,1,G2,zinc,CAR-G2--1--104--114--RT--2--1,bulón,1/4,1 1/4,G2,,66.0208,Borroni,BU CAR G2 - 1/4 x 1 1/4 RT ZD,80.0,60.61,72.24
BHG2NC065012Z,BULON HEXAGONAL G2 1/4-UNC-1/2 ZINC,bulón,1/4,1/2,G2,zinc,CAR-G2--1--104--214--RT--1--1,bulón,1/4,2 1/4,G2,zinc,101.6953,Borroni,BU CAR G2 - 1/4 x 2 1/4  ZA,82.35,59.65,73.27
BHG2NC095050Z,BULON HEXAGONAL G2 3/8-UNC-2 ZINC,bulón,3/8,2,G2,zinc,CAR-G2--1--308--200--RT--1--1,bulón,3/8,2,G2,zinc,235.2732,Borroni,BU CAR G2 - 3/8 x 2  ZA,100.0,66.67,86.67
BHG2NC095012Z,BULON HEXAGONAL G2 3/8-UNC-1/2 ZINC,bulón,3/8,1/2,G2,zinc,CAR-G2--1--308--212--RT--1--1,bulón,3/8,2 1/2,G2,zinc,270.5345,Borroni,BU CAR G2 - 3/8 x 2 1/2  ZA,82.35,66.67,76.08
