id_proveedor,descripcion_proveedor,tipo_proveedor,score_final,proveedor
01-1--532--1--1,VR 1010 UNC - 5/32 RD ZA,varilla,68.0,Borroni
01-1--708--1--1,VR 1010 UNC - 7/8 RD ZA,varilla,68.07,Borroni
01-1--716--1--1,VR 1010 UNC - 7/16 RD ZA,varilla,68.0,Borroni
01-1--916--1--1,VR 1010 UNC - 9/16 RD ZA,varilla,68.0,Borroni
01-3--102--1--1,VR 1010 BSW - 1/2 RD ZA,varilla,63.27,Borroni
01-3--102--1--3,VR 1010 BSW - 1/2 RD NAT,varilla,68.24,Borroni
01-3--102--9--3,VR 1010 BSW - 1/2 - 2900 MM RD NAT,varilla,64.52,Borroni
01-4--516--1--1,VR 1010 UNC - 5/16 - 1350 MM - RD ZA - AT 50 UN,varilla,61.82,Borroni
01-5--100--1--3,VR 1010 UNC - 1 - 500 MM RD NAT - AT 5 UN,varilla,63.53,Borroni
01-5--114--1--3,VR 1010 UNC - 1 1/4 - 500 MM RD NAT - AT 4 UN,varilla,65.26,Borroni
01-5--304--1--3,VR 1010 UNC - 3/4 - 500 MM RD NAT,varilla,67.88,Borroni
01-5--308--1--3,VR 1010 UNC - 3/8 RD NAT - 470 MM,varilla,67.08,Borroni
01-5--508--1--3,VR 1010 UNC - 5/8 - 500 MM RD NAT,varilla,67.08,Borroni
01-6--100--1--1,VR 1010 UNC - 1 RD ZA - AT 5 UN,varilla,63.61,Borroni
01-6--118--1--3,VR 1010 UNC - 1 1/8 - 500 MM RD NAT- AT 5 UN,varilla,65.26,Borroni
01-6--304--1--1,VR 1010 UNC - 3/4 RD ZA - AT 5 UN,varilla,65.07,Borroni
01-6--308--1--3,VR 1010 UNC - 3/8 RD NAT - 3000 MM,varilla,66.67,Borroni
01-6--508--1--1,VR 1010 UNC - 5/8 RD ZA - AT 5 UN,varilla,64.24,Borroni
01-6--708--1--1,VR 1010 UNC - 7/8 RD ZA - AT 5 UN,varilla,64.62,Borroni
01-7--102--1--1,VR 1010 BSW - 1/2 RD ZA - AT 25 UN,varilla,63.53,Borroni
01-7--104--1--1,VR 1010 UNC - 1/4 RD ZA - AT 25 UN,varilla,64.71,Borroni
01-7--308--1--1,VR 1010 UNC - 3/8 RD ZA - AT 25 UN,varilla,63.88,Borroni
01-7--516--1--1,VR 1010 UNC - 5/16 RD ZA - AT 25 UN,varilla,64.35,Borroni
01-8--102--5--3,VR 1010 BSW - 1/2 - 830 MM RD NAT,varilla,64.52,Borroni
01-8--102--9--3,VR 1010 BSW - 1/2 - 3000 MM RD NAT,varilla,64.13,Borroni
01-8--112--1--3,VR 1010 UNC - 1 1/2 - 750 MM RD NAT - AT 4 UN,varilla,65.26,Borroni
01-8--114--1--3,VR 1010 UNC - 1 1/4 - 750 MM RD NAT - AT 4 UN,varilla,65.26,Borroni
01-8--304--1--3,VR 1010 UNC - 3/4 - 400 MM RD NAT,varilla,67.88,Borroni
01-8--308--1--3,VR 1010 UNC - 3/8 RD NAT - 370 MM,varilla,67.08,Borroni
01-8--508--1--3,VR 1010 UNC - 5/8 - 400 MM RD NAT,varilla,67.08,Borroni
01-8--710--2--1,VR 1010 BSW - 1/2 RD ZA - 1500 MM,varilla,62.86,Borroni
01-9--100--9--3,VR 1010 UNC - 1 - 2900 MM RD NAT,varilla,67.08,Borroni
01-9--102--3--3,VR 1010 BSW - 1/2 - 900 MM RD NAT,varilla,64.52,Borroni
01-9--102--4--3,VR 1010 BSW - 1/2 - 670 MM RD NAT,varilla,64.52,Borroni
01-9--102--5--3,VR 1010 BSW - 1/2 - 1200 MM RD NAT,varilla,64.52,Borroni
01-9--102--6--3,VR 1010 BSW - 1/2 - 730 MM RD NAT,varilla,64.52,Borroni
01-9--102--7--3,VR 1010 BSW - 1/2 - 800 MM RD NAT,varilla,64.52,Borroni
01-9--102--8--3,VR 1010 BSW - 1/2 - 1110 MM RD NAT,varilla,64.52,Borroni
01-9--102--9--3,VR 1010 UNC - 1/2 - 2900 MM RD NAT,varilla,67.46,Borroni
01-9--304--9--3,VR 1010 UNC - 3/4 - 2900 MM RD NAT,varilla,67.46,Borroni
01-9--308--1--3,VR 1010 UNC - 3/8 RD NAT - 630 MM,varilla,67.08,Borroni
01-9--508--9--3,VR 1010 UNC - 5/8 - 2900 MM RD NAT,varilla,66.67,Borroni
01-9--516--1--3,VR 1010 UNC - 5/16 - 370 MM RD NAT,varilla,67.46,Borroni
01-9--516--2--3,VR 1010 UNC - 5/16 - 420 MM RD NAT,varilla,67.46,Borroni
01-9--516--3--3,VR 1010 UNC - 5/16 - 620 MM RD NAT,varilla,67.46,Borroni
01-9--516--5--3,VR 1010 UNC - 5/16 - 720 MM RD NAT,varilla,67.46,Borroni
01-9--516--6--3,VR 1010 UNC - 5/16 - 730 MM RD NAT,varilla,67.46,Borroni
01-9--708--9--3,VR 1010 UNC - 7/8 - 2900 MM RD NAT,varilla,67.08,Borroni
01-9--710--2--1,VR 1010 BSW - 1/2 RD ZA - 2000 MM,varilla,61.94,Borroni
03-1--304--1--3,VR 1040/45 - UNC 3/4 RD NAT,varilla,67.54,Borroni
03-1--308--1--3,VR 1040 - UNC 3/8 RD NAT,varilla,68.97,Borroni
1-0--1--04106350,"CABEZA DE PLOMO ANILLADO 4,1 X 63,5 - CAJA 19 KG - BOLSA 1 KG",clavo,58.46,Borroni
1-0--2--04107620,"CABEZA DE PLOMO ANILLADO 4,1 X 76,2 - CAJA 23 KG - BOLSA 1 KG",clavo,58.92,Borroni
1-0--3--04106350,"CABEZA DE PLOMO 4,1 X 63,5 - CAJA 20 KG - BOLSA 1 KG",clavo,58.67,Borroni
1-0--3--04107620,"CABEZA DE PLOMO 4,1 X 76,2 - CAJA 23 KG - BOLSA 1 KG",clavo,58.0,Borroni
1-0--3--04110160,"CABEZA DE PLOMO 4,1 X 101,6 - CAJA 30 KG - BOLSA 1 KG",clavo,59.17,Borroni
1-0--4--04110160,"CABEZA DE PLOMO ANILLADO 4,1 X 101,6 - CAJA 27 KG - BOLSA 1 KG",clavo,59.69,Borroni
2-1--2--00820000,CABEZA CHATA 8/20 - CAJA 20 KG - BOLSA 1 KG,clavo,62.71,Borroni
2-1--2--01025000,CABEZA CHATA 10/25 - CAJA 20 KG - BOLSA 1 KG,clavo,57.86,Borroni
2-1--2--01035000,CABEZA CHATA 10/30 - CAJA 20 KG - BOLSA 1 KG,clavo,58.09,Borroni
2-1--2--01230000,CABEZA CHATA 12/30 - CAJA 20 KG - BOLSA 1 KG,clavo,57.86,Borroni
2-1--2--01240000,CABEZA CHATA 12/40 - CAJA 20 KG - BOLSA 1 KG,clavo,57.86,Borroni
2-1--2--01440000,CABEZA CHATA 14/40 - CAJA 20 KG - BOLSA 1 KG,clavo,57.86,Borroni
3-1--2--00820020,CABEZA PERDIDA  8/20  - CAJA 20 KG -BOLSA 1 KG,clavo,62.43,Borroni
3-1--2--01025020,CABEZA PERDIDA 10/25 - CAJA 20 KG -BOLSA 1 KG,clavo,57.88,Borroni
3-1--2--01030020,CABEZA PERDIDA 10/30 - CAJA 20 KG -BOLSA 1 KG,clavo,58.82,Borroni
3-1--2--01035020,CABEZA PERDIDA 10/35 - CAJA 20 KG -BOLSA 1 KG,clavo,57.88,Borroni
3-1--2--01230020,CABEZA PERDIDA 12/30 - CAJA 20 KG -BOLSA 1 KG,clavo,57.88,Borroni
3-1--2--01235020,CABEZA PERDIDA 12/35 - CAJA 20 KG -BOLSA 1 KG,clavo,56.94,Borroni
3-1--2--01240020,CABEZA PERDIDA 12/40 - CAJA 20 KG -BOLSA 1 KG,clavo,57.88,Borroni
3-1--2--01440000,CABEZA PERDIDA 14/40 - CAJA 20 KG -BOLSA 1 KG,clavo,57.88,Borroni
3-1--2--01450020,CABEZA PERDIDA 14/50 - CAJA 20 KG -BOLSA 1 KG,clavo,57.88,Borroni
3-1--2--01550020,CABEZA PERDIDA 15/50 - CAJA 20 KG -BOLSA 1 KG,clavo,57.88,Borroni
3-1--2--01663020,CABEZA PERDIDA 16/63 - CAJA 20 KG -BOLSA 1 KG,clavo,57.88,Borroni
6-0--0--01232G00,PUNTA CAJONERO 12/32 MM - CAJA 30 KG,clavo,56.0,Borroni
6-0--0--01238G00,PUNTA CAJONERO 12/38 MM - CAJA 30 KG,clavo,56.0,Borroni
6-0--0--01250G00,PUNTA CAJONERO 12/50 MM - CAJA 20 KG,clavo,57.0,Borroni
