codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,precio_granel,precio_fraccionado,proveedor,descripcion
1040000000F0063,bulón,hexagonal,3/8,,2 1/2,G2,imperial,UNC,,213.75827548488004,226.5837720139729,efepe,Bulon G2 Hex UNC 3/8 2 1/2
1040000000F0070,bulón,hexagonal,3/8,,2 3/4,G2,imperial,UNC,,232.8476875740948,246.8185488285405,efepe,Bulon G2 Hex UNC 3/8 2 3/4
1040000000F0076,bulón,hexagonal,3/8,,3,G2,imperial,UNC,,251.88496549776005,266.99806342762565,efepe,Bulon G2 Hex UNC 3/8 3
1040000000F0082,bulón,hexagonal,3/8,,3 1/4,G2,imperial,UNC,,270.7008586824173,286.9429102033623,efepe,Bulon G2 Hex UNC 3/8 3 1/4
1040000000F0090,bulón,hexagonal,3/8,,3 1/2,G2,imperial,UNC,,289.7863205373417,307.1734997695822,efepe,Bulon G2 Hex UNC 3/8 3 1/2
1040000000F0100,bulón,hexagonal,3/8,,4,G2,imperial,UNC,,327.69926655984005,347.3612225534305,efepe,Bulon G2 Hex UNC 3/8 4
1040000000F0110,bulón,hexagonal,3/8,,4 1/2,G2,imperial,UNC,,365.5332372636,387.465231499416,efepe,Bulon G2 Hex UNC 3/8 4 1/2
1040000000F0125,bulón,hexagonal,3/8,,5,G2,imperial,UNC,,411.70970827728,436.4122907739168,efepe,Bulon G2 Hex UNC 3/8 5
1040000000F0140,bulón,hexagonal,3/8,,5 1/2,G2,imperial,UNC,,360.5265558746636,382.1581492271434,efepe,Bulon G2 Hex UNC 3/8 5 1/2
1040000000F0155,bulón,hexagonal,3/8,,6,G2,imperial,UNC,,489.0565615426268,518.3999552351844,efepe,Bulon G2 Hex UNC 3/8 6
1040000000F0175,bulón,hexagonal,3/8,,7,G2,imperial,UNC,,557.931568859991,591.4074629915905,efepe,Bulon G2 Hex UNC 3/8 7
1040000000F0200,bulón,hexagonal,3/8,,8,G2,imperial,UNC,,643.32386161848,681.9232933155888,efepe,Bulon G2 Hex UNC 3/8 8
1040000000G0022,bulón,hexagonal,7/16,,7/8,G2,imperial,UNC,,107.59007430328408,114.0454787614811,efepe,Bulon G2 Hex UNC 7/16 7/8
1040000000G0025,bulón,hexagonal,7/16,,1,G2,imperial,UNC,,144.74969835984,153.4346802614304,efepe,Bulon G2 Hex UNC 7/16 1
1040000000G0032,bulón,hexagonal,7/16,,1 1/4,G2,imperial,UNC,,165.27390932130984,175.19034388058844,efepe,Bulon G2 Hex UNC 7/16 1 1/4
1040000000G0038,bulón,hexagonal,7/16,,1 1/2,G2,imperial,UNC,,191.21888868264,202.6920220035984,efepe,Bulon G2 Hex UNC 7/16 1 1/2
1040000000G0044,bulón,hexagonal,7/16,,1 3/4,G2,imperial,UNC,,234.1081218549025,248.15460916619665,efepe,Bulon G2 Hex UNC 7/16 1 3/4
1040000000G0050,bulón,hexagonal,7/16,,2,G2,imperial,UNC,,261.9919676341464,277.71148569219514,efepe,Bulon G2 Hex UNC 7/16 2
1040000000G0056,bulón,hexagonal,7/16,,2 1/4,G2,imperial,UNC,,231.9006507307123,245.81468977455503,efepe,Bulon G2 Hex UNC 7/16 2 1/4
1040000000G0063,bulón,hexagonal,7/16,,2 1/2,G2,imperial,UNC,,317.7596591926344,336.8252387441924,efepe,Bulon G2 Hex UNC 7/16 2 1/2
1040000000G0070,bulón,hexagonal,7/16,,2 3/4,G2,imperial,UNC,,276.51480397750265,293.1056922161528,efepe,Bulon G2 Hex UNC 7/16 2 3/4
1040000000G0076,bulón,hexagonal,7/16,,3,G2,imperial,UNC,,346.65284182536,367.4520123348816,efepe,Bulon G2 Hex UNC 7/16 3
1040000000G0082,bulón,hexagonal,7/16,,3 1/4,G2,imperial,UNC,,373.608739323444,396.0252636828506,efepe,Bulon G2 Hex UNC 7/16 3 1/4
1040000000G0090,bulón,hexagonal,7/16,,3 1/2,G2,imperial,UNC,,398.40816502168127,422.3126549229821,efepe,Bulon G2 Hex UNC 7/16 3 1/2
1040000000G0100,bulón,hexagonal,7/16,,4,G2,imperial,UNC,,450.16348821800256,477.1732975110827,efepe,Bulon G2 Hex UNC 7/16 4
1040000000G0110,bulón,hexagonal,7/16,,4 1/2,G2,imperial,UNC,,502.9970473142472,533.1768701531021,efepe,Bulon G2 Hex UNC 7/16 4 1/2
1040000000G0125,bulón,hexagonal,7/16,,5,G2,imperial,UNC,,553.8897817906295,587.1231686980673,efepe,Bulon G2 Hex UNC 7/16 5
1040000000G0140,bulón,hexagonal,7/16,,5 1/2,G2,imperial,UNC,,484.6023428615544,513.6784834332477,efepe,Bulon G2 Hex UNC 7/16 5 1/2
1040000000G0155,bulón,hexagonal,7/16,,6,G2,imperial,UNC,,671.49809512128,711.7879808285568,efepe,Bulon G2 Hex UNC 7/16 6
1040000000H0019,bulón,hexagonal,1/2,,3/4,G2,imperial,UNC,,201.67567746933923,213.7762181174996,efepe,Bulon G2 Hex UNC 1/2 3/4
1040000000H0022,bulón,hexagonal,1/2,,7/8,G2,imperial,UNC,,219.5706885893732,232.7449299047356,efepe,Bulon G2 Hex UNC 1/2 7/8
1040000000H0025,bulón,hexagonal,1/2,,1,G2,imperial,UNC,,229.5611549201896,243.33482421540097,efepe,Bulon G2 Hex UNC 1/2 1
1040000000H0032,bulón,hexagonal,1/2,,1 1/4,G2,imperial,UNC,,257.44663237104004,272.8934303133024,efepe,Bulon G2 Hex UNC 1/2 1 1/4
1040000000H0038,bulón,hexagonal,1/2,,1 1/2,G2,imperial,UNC,,294.47562497472006,312.14416247320327,efepe,Bulon G2 Hex UNC 1/2 1 1/2
1040000000H0044,bulón,hexagonal,1/2,,1 3/4,G2,imperial,UNC,,329.60194206912007,349.37805859326727,efepe,Bulon G2 Hex UNC 1/2 1 3/4
1040000000H0050,bulón,hexagonal,1/2,,2,G2,imperial,UNC,,357.33709660824,378.7773224047344,efepe,Bulon G2 Hex UNC 1/2 2
1040000000H0056,bulón,hexagonal,1/2,,2 1/4,G2,imperial,UNC,,422.6567809344774,448.0161877905461,efepe,Bulon G2 Hex UNC 1/2 2 1/4
1040000000H0063,bulón,hexagonal,1/2,,2 1/2,G2,imperial,UNC,,434.76135387048,460.8470351027088,efepe,Bulon G2 Hex UNC 1/2 2 1/2
1040000000H0070,bulón,hexagonal,1/2,,2 3/4,G2,imperial,UNC,,469.43694697005833,497.6031637882618,efepe,Bulon G2 Hex UNC 1/2 2 3/4
1040000000H0076,bulón,hexagonal,1/2,,3,G2,imperial,UNC,,566.4394679368659,600.4258360130779,efepe,Bulon G2 Hex UNC 1/2 3
1040000000H0082,bulón,hexagonal,1/2,,3 1/4,G2,imperial,UNC,,580.5384970053314,615.3708068256512,efepe,Bulon G2 Hex UNC 1/2 3 1/4
1040000000H0090,bulón,hexagonal,1/2,,3 1/2,G2,imperial,UNC,,619.2620359791343,656.4177581378824,efepe,Bulon G2 Hex UNC 1/2 3 1/2
1040000000H0100,bulón,hexagonal,1/2,,4,G2,imperial,UNC,,645.66561609144,684.4055530569265,efepe,Bulon G2 Hex UNC 1/2 4
1040000000H0110,bulón,hexagonal,1/2,,4 1/2,G2,imperial,UNC,,715.77189062568,758.7182040632208,efepe,Bulon G2 Hex UNC 1/2 4 1/2
1040000000H0125,bulón,hexagonal,1/2,,5,G2,imperial,UNC,,785.8357013760401,832.9858434586025,efepe,Bulon G2 Hex UNC 1/2 5
1040000000H0140,bulón,hexagonal,1/2,,5 1/2,G2,imperial,UNC,,684.7196097011204,725.8027862831876,efepe,Bulon G2 Hex UNC 1/2 5 1/2
1040000000H0155,bulón,hexagonal,1/2,,6,G2,imperial,UNC,,925.724815092,981.26830399752,efepe,Bulon G2 Hex UNC 1/2 6
1040000000H0175,bulón,hexagonal,1/2,,7,G2,imperial,UNC,,1035.2763897593643,1097.3929731449264,efepe,Bulon G2 Hex UNC 1/2 7
1040000000H0200,bulón,hexagonal,1/2,,8,G2,imperial,UNC,,915.6382250970512,970.576518602874,efepe,Bulon G2 Hex UNC 1/2 8
1040000000H0225,bulón,hexagonal,1/2,,9,G2,imperial,UNC,,1051.0675067625684,1114.1315571683226,efepe,Bulon G2 Hex UNC 1/2 9
1040000000H0250,bulón,hexagonal,1/2,,10,G2,imperial,UNC,,1453.1413986056752,1540.329882522016,efepe,Bulon G2 Hex UNC 1/2 10
1040000000H0275,bulón,hexagonal,1/2,,11,G2,imperial,UNC,,1625.0617214084757,1722.565424692984,efepe,Bulon G2 Hex UNC 1/2 11
1040000000H0300,bulón,hexagonal,1/2,,12,G2,imperial,UNC,,1793.1715546576272,1900.761847937085,efepe,Bulon G2 Hex UNC 1/2 12
1040000000J0025,bulón,hexagonal,5/8,,1,G2,imperial,UNC,,378.5592465194399,401.2728013106063,efepe,Bulon G2 Hex UNC 5/8 1
1040000000J0032,bulón,hexagonal,5/8,,1 1/4,G2,imperial,UNC,,422.5777635565841,447.9324293699792,efepe,Bulon G2 Hex UNC 5/8 1 1/4
1040000000J0038,bulón,hexagonal,5/8,,1 1/2,G2,imperial,UNC,,466.59457873728,494.5902534615168,efepe,Bulon G2 Hex UNC 5/8 1 1/2
1040000000J0044,bulón,hexagonal,5/8,,1 3/4,G2,imperial,UNC,,544.6233013728529,577.300699455224,efepe,Bulon G2 Hex UNC 5/8 1 3/4
1040000000J0050,bulón,hexagonal,5/8,,2,G2,imperial,UNC,,557.92300318272,591.3983833736831,efepe,Bulon G2 Hex UNC 5/8 2
1040000000J0056,bulón,hexagonal,5/8,,2 1/4,G2,imperial,UNC,,623.2725889437602,660.6689442803857,efepe,Bulon G2 Hex UNC 5/8 2 1/4
1040000000J0063,bulón,hexagonal,5/8,,2 1/2,G2,imperial,UNC,,674.5716478670402,715.0459467390625,efepe,Bulon G2 Hex UNC 5/8 2 1/2
1040000000J0070,bulón,hexagonal,5/8,,2 3/4,G2,imperial,UNC,,731.0664745272001,774.930462998832,efepe,Bulon G2 Hex UNC 5/8 2 3/4
1040000000J0076,bulón,hexagonal,5/8,,3,G2,imperial,UNC,,784.4877484415999,831.5570133480959,efepe,Bulon G2 Hex UNC 5/8 3
1040000000J0082,bulón,hexagonal,5/8,,3 1/4,G2,imperial,UNC,,838.1218242238425,888.4091336772731,efepe,Bulon G2 Hex UNC 5/8 3 1/4
1040000000J0090,bulón,hexagonal,5/8,,3 1/2,G2,imperial,UNC,,892.030946548558,945.5528033414714,efepe,Bulon G2 Hex UNC 5/8 3 1/2
1040000000J0100,bulón,hexagonal,5/8,,4,G2,imperial,UNC,,1000.2950590903198,1060.312762635739,efepe,Bulon G2 Hex UNC 5/8 4
1040000000J0110,bulón,hexagonal,5/8,,4 1/2,G2,imperial,UNC,,1107.35714640096,1173.7985751850176,efepe,Bulon G2 Hex UNC 5/8 4 1/2
1040000000J0125,bulón,hexagonal,5/8,,5,G2,imperial,UNC,,1214.627212743825,1287.5048455084543,efepe,Bulon G2 Hex UNC 5/8 5
1040000000J0140,bulón,hexagonal,5/8,,5 1/2,G2,imperial,UNC,,1322.43265877688,1401.778618303493,efepe,Bulon G2 Hex UNC 5/8 5 1/2
1040000000J0155,bulón,hexagonal,5/8,,6,G2,imperial,UNC,,1430.73880315128,1516.5831313403569,efepe,Bulon G2 Hex UNC 5/8 6
1040000000J0175,bulón,hexagonal,5/8,,7,G2,imperial,UNC,,1316.7861551126823,1395.7933244194433,efepe,Bulon G2 Hex UNC 5/8 7
1040000000J0200,bulón,hexagonal,5/8,,8,G2,imperial,UNC,,1862.13388496688,1973.8619180648927,efepe,Bulon G2 Hex UNC 5/8 8
1040000000J0225,bulón,hexagonal,5/8,,9,G2,imperial,UNC,,2077.703007290464,2202.365187727891,efepe,Bulon G2 Hex UNC 5/8 9
1040000000J0250,bulón,hexagonal,5/8,,10,G2,imperial,UNC,,2292.831518224526,2430.4014093179976,efepe,Bulon G2 Hex UNC 5/8 10
1040000000J0275,bulón,hexagonal,5/8,,11,G2,imperial,UNC,,2500.469635536716,2650.4978136689188,efepe,Bulon G2 Hex UNC 5/8 11
1040000000J0300,bulón,hexagonal,5/8,,12,G2,imperial,UNC,,2766.34383083856,2932.3244606888734,efepe,Bulon G2 Hex UNC 5/8 12
1040000000K0025,bulón,hexagonal,3/4,,1,G2,imperial,UNC,,488.66561464492816,517.9855515236238,efepe,Bulon G2 Hex UNC 3/4 1
1040000000K0032,bulón,hexagonal,3/4,,1 1/4,G2,imperial,UNC,,675.8258669627215,716.3754189804848,efepe,Bulon G2 Hex UNC 3/4 1 1/4
1040000000K0038,bulón,hexagonal,3/4,,1 1/2,G2,imperial,UNC,,740.43349241904,784.8595019641824,efepe,Bulon G2 Hex UNC 3/4 1 1/2
1040000000K0044,bulón,hexagonal,3/4,,1 3/4,G2,imperial,UNC,,805.393456809707,853.7170642182895,efepe,Bulon G2 Hex UNC 3/4 1 3/4
1040000000K0050,bulón,hexagonal,3/4,,2,G2,imperial,UNC,,858.7652731308001,910.291189518648,efepe,Bulon G2 Hex UNC 3/4 2
1040000000K0056,bulón,hexagonal,3/4,,2 1/4,G2,imperial,UNC,,934.7765119954846,990.8631027152136,efepe,Bulon G2 Hex UNC 3/4 2 1/4
