codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,descripcion
TUHG2MA03D,tuerca,hexagonal,M03,0.5,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M03-0,5 DICRO"
TUHG2MA04D,tuerca,hexagonal,M04,0.7,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M04-0,7 DICRO"
TUHG2MA05D,tuerca,hexagonal,M05,0.8,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M05-0,8 DICRO"
TUHG2MA06D,tuerca,hexagonal,M06,1,,G2,métrico,,dicro,TUERCA HEXAGONAL G2 M06-1 DICRO
TUHG2MA07D,tuerca,hexagonal,M07,1,,G2,métrico,,dicro,TUERCA HEXAGONAL G2 M07-1 DICRO
TUHG2MA08D,tuerca,hexagonal,M08,1.25,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M08-1,25 DICRO"
TUHG2MA12D,tuerca,hexagonal,M12,1.75,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M12-1,75 DICRO"
TUHG2MA14D,tuerca,hexagonal,M14,2,,G2,métrico,,dicro,TUERCA HEXAGONAL G2 M14-2 DICRO
TUHG2MA16D,tuerca,hexagonal,M16,2,,G2,métrico,,dicro,TUERCA HEXAGONAL G2 M16-2 DICRO
TUHG2MA18D,tuerca,hexagonal,M18,2.5,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M18-2,5 DICRO"
TUHG2MA20D,tuerca,hexagonal,M20,2.5,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M20-2,5 DICRO"
TUHG2MA22D,tuerca,hexagonal,M22,2.5,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M22-2,5 DICRO"
TUHG2MA24D,tuerca,hexagonal,M24,3,,G2,métrico,,dicro,TUERCA HEXAGONAL G2 M24-3 DICRO
TUHG2MA27D,tuerca,hexagonal,M27,3,,G2,métrico,,dicro,TUERCA HEXAGONAL G2 M27-3 DICRO
TUHG2MA30D,tuerca,hexagonal,M30,3.5,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M30-3,5 DICRO"
TUHG2MB08D,tuerca,hexagonal,M08,1,,G2,métrico,,dicro,TUERCA HEXAGONAL G2 M08-1 DICRO
TUHG2MB10D,tuerca,hexagonal,M10,1.25,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M10-1,25 DICRO"
TUHG2MC12D,tuerca,hexagonal,M12,1.25,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M12-1,25 DICRO"
TUHG2MB12D,tuerca,hexagonal,M12,1.5,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M12-1,5 DICRO"
TUHG2MB14D,tuerca,hexagonal,M14,1.5,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M14-1,5 DICRO"
TUHG2MB16D,tuerca,hexagonal,M16,1.5,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M16-1,5 DICRO"
TUHG2MB18D,tuerca,hexagonal,M18,1.5,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M18-1,5 DICRO"
TUHG2MB20D,tuerca,hexagonal,M20,1.5,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M20-1,5 DICRO"
TUHG2MB22D,tuerca,hexagonal,M22,1.5,,G2,métrico,,dicro,"TUERCA HEXAGONAL G2 M22-1,5 DICRO"
TUHG2MB24D,tuerca,hexagonal,M24,2,,G2,métrico,,dicro,TUERCA HEXAGONAL G2 M24-2 DICRO
BHG2NC047012Z,bulón,hexagonal,3/16,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 3/16-UNC-1/2 ZINC
BHG2NC047016Z,bulón,hexagonal,3/16,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 3/16-UNC-5/8 ZINC
BHG2NC047019Z,bulón,hexagonal,3/16,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 3/16-UNC-3/4 ZINC
BHG2NC047022Z,bulón,hexagonal,3/16,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 3/16-UNC-7/8 ZINC
BHG2NC047025Z,bulón,hexagonal,3/16,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 3/16-UNC-1 ZINC
BHG2NC047032Z,bulón,hexagonal,3/16,1,1/4,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 3/16-UNC-1,1/4 ZINC"
BHG2NC047038Z,bulón,hexagonal,3/16,1,1/2,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 3/16-UNC-1,1/2 ZINC"
BHG2NC047044Z,bulón,hexagonal,3/16,1,3/4,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 3/16-UNC-1,3/4 ZINC"
BHG2NC047050Z,bulón,hexagonal,3/16,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 3/16-UNC-2 ZINC
BHG2NC065009Z,bulón,hexagonal,1/4,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 1/4-UNC-3/8 ZINC
BHG2NC065012Z,bulón,hexagonal,1/4,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 1/4-UNC-1/2 ZINC
BHG2NC065016Z,bulón,hexagonal,1/4,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 1/4-UNC-5/8 ZINC
BHG2NC065019Z,bulón,hexagonal,1/4,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 1/4-UNC-3/4 ZINC
BHG2NC065022Z,bulón,hexagonal,1/4,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 1/4-UNC-7/8 ZINC
BHG2NC065025Z,bulón,hexagonal,1/4,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 1/4-UNC-1 ZINC
BHG2NC065032Z,bulón,hexagonal,1/4,1,1/4,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 1/4-UNC-1,1/4 ZINC"
BHG2NC065038Z,bulón,hexagonal,1/4,1,1/2,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 1/4-UNC-1,1/2 ZINC"
BHG2NC065044Z,bulón,hexagonal,1/4,1,3/4,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 1/4-UNC-1,3/4 ZINC"
BHG2NC065050Z,bulón,hexagonal,1/4,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 1/4-UNC-2 ZINC
BHG2NC065056Z,bulón,hexagonal,1/4,2,1/4,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 1/4-UNC-2,1/4 ZINC"
BHG2NC065063Z,bulón,hexagonal,1/4,2,1/2,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 1/4-UNC-2,1/2 ZINC"
BHG2NC065070Z,bulón,hexagonal,1/4,2,3/4,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 1/4-UNC-2,3/4 ZINC"
BHG2NC065076Z,bulón,hexagonal,1/4,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 1/4-UNC-3 ZINC
BHG2NC065082Z,bulón,hexagonal,1/4,3,1/4,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 1/4-UNC-3,1/4 ZINC"
BHG2NC065090Z,bulón,hexagonal,1/4,3,1/2,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 1/4-UNC-3,1/2 ZINC"
BHG2NC065100Z,bulón,hexagonal,1/4,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 1/4-UNC-4 ZINC
BHG2NC065110Z,bulón,hexagonal,1/4,4,1/2,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 1/4-UNC-4,1/2 ZINC"
BHG2NC065125Z,bulón,hexagonal,1/4,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 1/4-UNC-5 ZINC
BHG2NC065140Z,bulón,hexagonal,1/4,5,1/2,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 1/4-UNC-5,1/2 ZINC"
