codigo,tipo,diametro,paso,largo,grado,sistema,precio_unitario,proveedor,descripcion
codigo,otro,,,,,otro,precio_unitario,proveedor,descripcion
1040000000J0125,bulón,5/8,,5,,imperial,1214.627212743825,fleb,Bulon G2 Hex UNC 5/8 5
1040000000J0140,bulón,5/8,,5,,imperial,1322.43265877688,fleb,Bulon G2 Hex UNC 5/8 5 1/2
1040000000J0155,bulón,5/8,,6,,imperial,1430.73880315128,fleb,Bulon G2 Hex UNC 5/8 6
1040000000J0175,bulón,5/8,,7,,imperial,1316.7861551126823,fleb,Bulon G2 Hex UNC 5/8 7
1040000000J0200,bulón,5/8,,8,,imperial,1862.13388496688,fleb,Bulon G2 Hex UNC 5/8 8
1040000000J0225,bulón,5/8,,9,,imperial,2077.7030072904636,fleb,Bulon G2 Hex UNC 5/8 9
1040000000J0250,bulón,5/8,,10,,imperial,2292.831518224526,fleb,Bulon G2 Hex UNC 5/8 10
1040000000J0275,bulón,5/8,,11,,imperial,2500.469635536716,fleb,Bulon G2 Hex UNC 5/8 11
1040000000J0300,bulón,5/8,,12,,imperial,2766.34383083856,fleb,Bulon G2 Hex UNC 5/8 12
1040000000K0025,bulón,3/4,,1,,imperial,488.66561464492816,fleb,Bulon G2 Hex UNC 3/4 1
1040000000K0032,bulón,3/4,,1,,imperial,675.8258669627215,fleb,Bulon G2 Hex UNC 3/4 1 1/4
1040000000K0038,bulón,3/4,,1,,imperial,740.43349241904,fleb,Bulon G2 Hex UNC 3/4 1 1/2
1040000000K0044,bulón,3/4,,1,,imperial,805.393456809707,fleb,Bulon G2 Hex UNC 3/4 1 3/4
1040000000K0050,bulón,3/4,,2,,imperial,858.7652731308001,fleb,Bulon G2 Hex UNC 3/4 2
1040000000K0056,bulón,3/4,,2,,imperial,934.7765119954846,fleb,Bulon G2 Hex UNC 3/4 2 1/4
1040000000K0063,bulón,3/4,,2,,imperial,1010.8329542186401,fleb,Bulon G2 Hex UNC 3/4 2 1/2
1040000000K0070,bulón,3/4,,2,,imperial,1109.0402824284001,fleb,Bulon G2 Hex UNC 3/4 2 3/4
1040000000K0076,bulón,3/4,,3,,imperial,1187.4158774452799,fleb,Bulon G2 Hex UNC 3/4 3
1040000000K0082,bulón,3/4,,3,,imperial,1267.7880230674457,fleb,Bulon G2 Hex UNC 3/4 3 1/4
1040000000K0090,bulón,3/4,,3,,imperial,1342.70347093344,fleb,Bulon G2 Hex UNC 3/4 3 1/2
1040000000K0100,bulón,3/4,,4,,imperial,1492.2830378937601,fleb,Bulon G2 Hex UNC 3/4 4
1040000000K0110,bulón,3/4,,4,,imperial,1652.5468596369599,fleb,Bulon G2 Hex UNC 3/4 4 1/2
1040000000K0125,bulón,3/4,,5,,imperial,1446.1435368221178,fleb,Bulon G2 Hex UNC 3/4 5
1040000000K0140,bulón,3/4,,5,,imperial,1923.45858022752,fleb,Bulon G2 Hex UNC 3/4 5 1/2
1040000000K0155,bulón,3/4,,6,,imperial,1664.1158503092029,fleb,Bulon G2 Hex UNC 3/4 6
1040000000K0175,bulón,3/4,,7,,imperial,2384.8725205405267,fleb,Bulon G2 Hex UNC 3/4 7
1040000000K0200,bulón,3/4,,8,,imperial,2902.75102888848,fleb,Bulon G2 Hex UNC 3/4 8
