codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,precio_unitario,proveedor,descripcion
CAT-G2--1--308--112--RT--1--1,bulón,,3/8,,1 1/2,G2,imperial,,zinc,266.5408,borroni,BU CAR C/ TCA. G2 - 3/8 x 1 1/2 ZA
CAT-G2--1--308--114--RT--1--1,bulón,,3/8,,1 1/4,G2,imperial,,zinc,242.3481,borroni,BU CAR C/ TCA. G2 - 3/8 x 1 1/4 ZA
CAT-G2--1--308--134--RP--1--1,bulón,,3/8,,1 3/4,G2,imperial,,zinc,277.7863,borroni,BU CAR C/ TCA. G2 - 3/8 x 1 3/4 ZA
CAT-G2--1--308--200--RP--1--1,bulón,,3/8,,2,G2,imperial,,zinc,300.693,borroni,BU CAR C/ TCA. G2 - 3/8 x 2 ZA
CAT-G2--1--308--212--RP--1--1,bulón,,3/8,,2 1/2,G2,imperial,,zinc,337.8597,borroni,BU CAR C/ TCA. G2 - 3/8 x 2 1/2 ZA
CAT-G2--1--308--214--RP--1--1,bulón,,3/8,,2 1/4,G2,imperial,,zinc,312.2828,borroni,BU CAR C/ TCA. G2 - 3/8 x 2 1/4 ZA
CAT-G2--1--308--234--RP--1--1,bulón,,3/8,,2 3/4,G2,imperial,,zinc,363.4372,borroni,BU CAR C/ TCA. G2 - 3/8 x 2 3/4 ZA
CAT-G2--1--308--300--RP--1--1,bulón,,3/8,,3,G2,imperial,,zinc,385.3656,borroni,BU CAR C/ TCA. G2 - 3/8 x 3 ZA
CAT-G2--1--308--312--RP--1--1,bulón,,3/8,,3 1/2,G2,imperial,,zinc,436.5356,borroni,BU CAR C/ TCA. G2 - 3/8 x 3 1/2 ZA
CAT-G2--1--308--314--RP--1--1,bulón,,3/8,,3 1/4,G2,imperial,,zinc,407.2977,borroni,BU CAR C/ TCA. G2 - 3/8 x 3 1/4 ZA
CAT-G2--1--308--400--RP--1--1,bulón,,3/8,,4,G2,imperial,,zinc,464.5115,borroni,BU CAR C/ TCA. G2 - 3/8 x 4 ZA
CAT-G2--1--308--412--RP--1--1,bulón,,3/8,,4 1/2,G2,imperial,,zinc,501.3259,borroni,BU CAR C/ TCA. G2 - 3/8 x 4 1/2 ZA
CAT-G2--1--308--500--RP--1--1,bulón,,3/8,,5,G2,imperial,,zinc,543.9813,borroni,BU CAR C/ TCA. G2 - 3/8 x 5 ZA
CAT-G2--1--308--512--RP--1--1,bulón,,3/8,,5 1/2,G2,imperial,,zinc,733.5816,borroni,BU CAR C/ TCA. G2 - 3/8 x 5 1/2 ZA
CAT-G2--1--308--600--RP--1--1,bulón,,3/8,,6,G2,imperial,,zinc,803.2239,borroni,BU CAR C/ TCA. G2 - 3/8 x 6 ZA
CAT-G2--1--308--700--RP--1--1,bulón,,3/8,,7,G2,imperial,,zinc,895.4399,borroni,BU CAR C/ TCA. G2 - 3/8 x 7 ZA
CAT-G2--1--308--800--RP--1--1,bulón,,3/8,,8,G2,imperial,,zinc,1010.8273,borroni,BU CAR C/ TCA. G2 - 3/8 x 8 ZA
CAT-G2--1--516--034--RT--1--1,bulón,,5/16,,3/4,G2,imperial,,zinc,118.0575,borroni,BU CAR C/ TCA. G2 - 5/16 x 3/4 ZA
CAT-G2--1--516--100--RT--1--1,bulón,,5/16,,1,G2,imperial,,zinc,139.6695,borroni,BU CAR C/ TCA. G2 - 5/16 x 1 ZA
CAT-G2--1--516--112--RT--1--1,bulón,,5/16,,1 1/2,G2,imperial,,zinc,170.851,borroni,BU CAR C/ TCA. G2 - 5/16  x 1 1/2  ZA
CAT-G2--1--516--114--RT--1--1,bulón,,5/16,,1 1/4,G2,imperial,,zinc,156.4543,borroni,BU CAR C/ TCA. G2 - 5/16 x 1 1/4 ZA
CAT-G2--1--516--134--RP--1--1,bulón,,5/16,,1 3/4,G2,imperial,,zinc,185.225,borroni,BU CAR C/ TCA. G2 - 5/16 x 1 3/4 ZA
CAT-G2--1--516--200--RP--1--1,bulón,,5/16,,2,G2,imperial,,zinc,199.6393,borroni,BU CAR C/ TCA. G2 - 5/16 x 2 ZA
CAT-G2--1--516--212--RP--1--1,bulón,,5/16,,2 1/2,G2,imperial,,zinc,230.838,borroni,BU CAR C/ TCA. G2 - 5/16 x 2 1/2 ZA
