codigo,descripcion_original,descripcion_borroni
>TUHG2NF079Z,TUERCA HEXAGONAL G2 5/16-UNF (24) ZINC,
>TUHG2NF095Z,TUERCA HEXAGONAL G2 3/8-UNF (24) ZINC,
>TUHG2NF110Z,TUERCA HEXAGONAL G2 7/16-UNF (20) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/16
>TUHG2NF125Z,TUERCA HEXAGONAL G2 1/2-UNF (20) ZINC,
>TUHG2NF140Z,TUERCA HEXAGONAL G2 9/16-UNF (18) ZINC,
>TUHG2NF160Z,TUERCA HEXAGONAL G2 5/8-UNF (18) ZINC,
>TUHG2NF190Z,TUERCA HEXAGONAL G2 3/4-UNF (16) ZINC,
>TUHG2NF220Z,TUERCA HEXAGONAL G2 7/8-UNF (14) ZINC,TUERCAS HEXAGONALES ESTAMPADAS - GRADO 2 7/8
>TUHG2NF250Z,TUERCA HEXAGONAL G2 1-UNF (14) ZINC,
>TUHG2NF285Z,"TUERCA HEXAGONAL G2 1,1/8-UNF (12) ZINC",
>TUHG2NF317Z,"TUERCA HEXAGONAL G2 1,1/4-UNF (12) ZINC",
>TUHG2NF381Z,"TUERCA HEXAGONAL G2 1,1/2-UNF (12) ZINC",
>TUHG2MA05N,"TUERCA HEXAGONAL G2 M05-0,8 NAT",
>TUHG2MA06N,TUERCA HEXAGONAL G2 M06-1 NAT,
>TUHG2MA07N,TUERCA HEXAGONAL G2 M07-1 NAT,
>TUHG2MA08N,"TUERCA HEXAGONAL G2 M08-1,25 NAT",
>TUHG2MA10N,"TUERCA HEXAGONAL G2 M10-1,5 NAT",
>TUHG2MA12N,"TUERCA HEXAGONAL G2 M12-1,75 NAT",
>TUHG2MA14N,TUERCA HEXAGONAL G2 M14-2 NAT,
>TUHG2MA16N,TUERCA HEXAGONAL G2 M16-2 NAT,
>TUHG2MA18N,"TUERCA HEXAGONAL G2 M18-2,5 NAT",
>TUHG2MA20N,"TUERCA HEXAGONAL G2 M20-2,5 NAT",
>TUHG2MA22N,"TUERCA HEXAGONAL G2 M22-2,5 NAT",
>TUHG2MA24N,TUERCA HEXAGONAL G2 M24-3 NAT,
>TUHG2MA03D,"TUERCA HEXAGONAL G2 M03-0,5 DICRO",
>TUHG2MA04D,"TUERCA HEXAGONAL G2 M04-0,7 DICRO",
>TUHG2MA05D,"TUERCA HEXAGONAL G2 M05-0,8 DICRO",
>TUHG2MA06D,TUERCA HEXAGONAL G2 M06-1 DICRO,
>TUHG2MA07D,TUERCA HEXAGONAL G2 M07-1 DICRO,
>TUHG2MA08D,"TUERCA HEXAGONAL G2 M08-1,25 DICRO",
>TUHG2MA12D,"TUERCA HEXAGONAL G2 M12-1,75 DICRO",
>TUHG2MA14D,TUERCA HEXAGONAL G2 M14-2 DICRO,
>TUHG2MA16D,TUERCA HEXAGONAL G2 M16-2 DICRO,
>TUHG2MA18D,"TUERCA HEXAGONAL G2 M18-2,5 DICRO",
>TUHG2MA20D,"TUERCA HEXAGONAL G2 M20-2,5 DICRO",
>TUHG2MA22D,"TUERCA HEXAGONAL G2 M22-2,5 DICRO",
