codigo,descripcion_original,descripcion_borroni,score,estado
>TUHG2MA12N,"TUERCA HEXAGONAL G2 M12-1,75 NAT",,0.0,SIN_MATCH
>TUHG2MA14N,TUERCA HEXAGONAL G2 M14-2 NAT,,0.0,SIN_MATCH
>TUHG2MA16N,TUERCA HEXAGONAL G2 M16-2 NAT,,0.0,SIN_MATCH
>TUHG2MA18N,"TUERCA HEXAGONAL G2 M18-2,5 NAT",,0.0,SIN_MATCH
>TUHG2MA20N,"TUERCA HEXAGONAL G2 M20-2,5 NAT",,0.0,SIN_MATCH
>TUHG2MA22N,"TUERCA HEXAGONAL G2 M22-2,5 NAT",,0.0,SIN_MATCH
>TUHG2MA24N,TUERCA HEXAGONAL G2 M24-3 NAT,,0.0,SIN_MATCH
>TUHG2MA03D,"TUERCA HEXAGONAL G2 M03-0,5 DICRO",,0.0,SIN_MATCH
>TUHG2MA04D,"TUERCA HEXAGONAL G2 M04-0,7 DICRO",,0.0,SIN_MATCH
>TUHG2MA05D,"TUERCA HEXAGONAL G2 M05-0,8 DICRO",,0.0,SIN_MATCH
>TUHG2MA06D,TUERCA HEXAGONAL G2 M06-1 DICRO,,0.0,SIN_MATCH
>TUHG2MA07D,TUERCA HEXAGONAL G2 M07-1 DICRO,,0.0,SIN_MATCH
>TUHG2MA08D,"TUERCA HEXAGONAL G2 M08-1,25 DICRO",,0.0,SIN_MATCH
>TUHG2MA12D,"TUERCA HEXAGONAL G2 M12-1,75 DICRO",,0.0,SIN_MATCH
>TUHG2MA14D,TUERCA HEXAGONAL G2 M14-2 DICRO,,0.0,SIN_MATCH
>TUHG2MA16D,TUERCA HEXAGONAL G2 M16-2 DICRO,,0.0,SIN_MATCH
>TUHG2MA18D,"TUERCA HEXAGONAL G2 M18-2,5 DICRO",,0.0,SIN_MATCH
>TUHG2MA20D,"TUERCA HEXAGONAL G2 M20-2,5 DICRO",,0.0,SIN_MATCH
>TUHG2MA22D,"TUERCA HEXAGONAL G2 M22-2,5 DICRO",,0.0,SIN_MATCH
>TUHG2MA24D,TUERCA HEXAGONAL G2 M24-3 DICRO,,0.0,SIN_MATCH
>TUHG2MA27D,TUERCA HEXAGONAL G2 M27-3 DICRO,,0.0,SIN_MATCH
>TUHG2MA30D,"TUERCA HEXAGONAL G2 M30-3,5 DICRO",,0.0,SIN_MATCH
>TUHG2MB08D,TUERCA HEXAGONAL G2 M08-1 DICRO,,0.0,SIN_MATCH
>TUHG2MB10D,"TUERCA HEXAGONAL G2 M10-1,25 DICRO",,0.0,SIN_MATCH
>TUHG2MC12D,"TUERCA HEXAGONAL G2 M12-1,25 DICRO",,0.0,SIN_MATCH
>TUHG2MB12D,"TUERCA HEXAGONAL G2 M12-1,5 DICRO",,0.0,SIN_MATCH
>TUHG2MB14D,"TUERCA HEXAGONAL G2 M14-1,5 DICRO",,0.0,SIN_MATCH
>TUHG2MB16D,"TUERCA HEXAGONAL G2 M16-1,5 DICRO",,0.0,SIN_MATCH
