codigo,descripcion,precio_unitario,proveedor
1010000000G0076,Bulon Cab. Redonda 7/16 3,270.90950498031964,fleb
1010000000G0090,Bulon Cab. Redonda 7/16 3 1/2,383.3177344651891,fleb
1010000000G0100,Bulon Cab. Redonda 7/16 4,425.2783803186184,fleb
1010000000G0110,Bulon Cab. Redonda 7/16 4 1/2,469.90135680550657,fleb
1010000000G0125,Bulon Cab. Redonda 7/16 5,511.91987941183726,fleb
1010000000G0140,Bulon Cab. Redonda 7/16 5 1/2,554.8494504369598,fleb
1010000000G0155,Bulon Cab. Redonda 7/16 6,598.53780732312,fleb
1010000000G0175,Bulon Cab. Redonda 7/16 7,682.5715431801274,fleb
1010000000G0250,Bulon Cab. Redonda 7/16 10,934.3255039087651,fleb
1010000000G0275,Bulon Cab. Redonda 7/16 11,1018.1856163445806,fleb
1010000000H0038,Bulon Cab. Redonda 1/2 1 1/2,306.6234763032,fleb
1010000000H0050,Bulon Cab. Redonda 1/2 2,426.49203338783997,fleb
1010000000H0063,Bulon Cab. Redonda 1/2 2 1/2,437.02992851616006,fleb
1010000000H0070,Bulon Cab. Redonda 1/2 2 3/4,467.7490528934138,fleb
1010000000H0076,Bulon Cab. Redonda 1/2 3,498.4681772706679,fleb
1010000000H0090,Bulon Cab. Redonda 1/2 3 1/2,559.9064260251755,fleb
1010000000H0100,Bulon Cab. Redonda 1/2 4,606.3680488420799,fleb
1010000000H0110,Bulon Cab. Redonda 1/2 4 1/2,666.2291475571202,fleb
1010000000H0125,Bulon Cab. Redonda 1/2 5,785.4390861962399,fleb
1010000000H0140,Bulon Cab. Redonda 1/2 5 1/2,786.1708844690402,fleb
1010000000H0155,Bulon Cab. Redonda 1/2 6,846.1229698068096,fleb
1010000000H0175,Bulon Cab. Redonda 1/2 7,1049.32554336792,fleb
1010000000H0200,Bulon Cab. Redonda 1/2 8,1179.5687878624453,fleb
1020000000C0019,Bulon Cab. Redonda con Tuerca 3/16 3/4,49.053980990519996,fleb
1020000000D0019,Bulon Cab. Redonda con Tuerca 1/4 3/4,67.54498057944001,fleb
1020000000D0025,Bulon Cab. Redonda con Tuerca 1/4 1,74.13116503463999,fleb
1020000000D0032,Bulon Cab. Redonda con Tuerca 1/4 1 1/4,81.01006879896,fleb
1020000000D0038,Bulon Cab. Redonda con Tuerca 1/4 1 1/2,87.88897256328,fleb
1020000000D0044,Bulon Cab. Redonda con Tuerca 1/4 1 3/4,94.7153838745703,fleb
1020000000D0050,Bulon Cab. Redonda con Tuerca 1/4 2,101.60167598683684,fleb
1020000000D0056,Bulon Cab. Redonda con Tuerca 1/4 2 1/4,108.4879680991034,fleb
1020000000D0063,Bulon Cab. Redonda con Tuerca 1/4 2 1/2,115.37426021136993,fleb
1020000000D0070,Bulon Cab. Redonda con Tuerca 1/4 2 3/4,122.20067152266023,fleb
1020000000D0076,Bulon Cab. Redonda con Tuerca 1/4 3,129.23557497648,fleb
1020000000D0082,Bulon Cab. Redonda con Tuerca 1/4 3 1/4,134.94360150432,fleb
1020000000D0090,Bulon Cab. Redonda con Tuerca 1/4 3 1/2,142.3356418983133,fleb
1020000000D0100,Bulon Cab. Redonda con Tuerca 1/4 4,155.98707133560734,fleb
1020000000D0110,Bulon Cab. Redonda con Tuerca 1/4 4 1/2,162.84259266874628,fleb
1020000000D0125,Bulon Cab. Redonda con Tuerca 1/4 5,183.3154673364,fleb
1020000000D0140,Bulon Cab. Redonda con Tuerca 1/4 5 1/2,198.02461261968,fleb
1020000000D0155,Bulon Cab. Redonda con Tuerca 1/4 6,211.70924032103997,fleb
1020000000E0025,Bulon Cab. Redonda con Tuerca 5/16 1,115.6241271024,fleb
1020000000E0032,Bulon Cab. Redonda con Tuerca 5/16 1 1/4,128.72331618552002,fleb
1020000000E0038,Bulon Cab. Redonda con Tuerca 5/16 1 1/2,140.11962305893655,fleb
1020000000E0044,Bulon Cab. Redonda con Tuerca 5/16 1 3/4,149.2868476512,fleb
1020000000E0050,Bulon Cab. Redonda con Tuerca 5/16 2,167.87452378032,fleb
1020000000E0056,Bulon Cab. Redonda con Tuerca 5/16 2 1/4,174.46070823552,fleb
1020000000E0063,Bulon Cab. Redonda con Tuerca 5/16 2 1/2,194.65834056480006,fleb
1020000000E0070,Bulon Cab. Redonda con Tuerca 5/16 2 3/4,194.07290194656002,fleb
1020000000E0076,Bulon Cab. Redonda con Tuerca 5/16 3,205.34259534768,fleb
1020000000E0082,Bulon Cab. Redonda con Tuerca 5/16 3 1/4,216.46592909424,fleb
1020000000E0090,Bulon Cab. Redonda con Tuerca 5/16 3 1/2,227.73562249536005,fleb
1020000000E0100,Bulon Cab. Redonda con Tuerca 5/16 4,250.05546981575998,fleb
1020000000E0110,Bulon Cab. Redonda con Tuerca 5/16 4 1/2,271.20443989968,fleb
1020000000E0125,Bulon Cab. Redonda con Tuerca 5/16 5,272.9607557544,fleb
1020000000E0140,Bulon Cab. Redonda con Tuerca 5/16 5 1/2,317.2345512588001,fleb
1020000000E0155,Bulon Cab. Redonda con Tuerca 5/16 6,364.21600037255996,fleb
1020000000E0175,Bulon Cab. Redonda con Tuerca 5/16 7,384.48681252912,fleb
1020000000E0200,Bulon Cab. Redonda con Tuerca 5/16 8,427.22383166064014,fleb
1020000000E0225,Bulon Cab. Redonda con Tuerca 5/16 9,475.0658755432128,fleb
1020000000E0250,Bulon Cab. Redonda con Tuerca 5/16 10,658.3257262108801,fleb
1020000000F0025,Bulon Cab. Redonda con Tuerca 3/8 1,187.7062569732,fleb
1020000000F0032,Bulon Cab. Redonda con Tuerca 3/8 1 1/4,206.22075327504,fleb
1020000000F0038,Bulon Cab. Redonda con Tuerca 3/8 1 1/2,222.32031527664,fleb
1020000000F0044,Bulon Cab. Redonda con Tuerca 3/8 1 3/4,244.88670046176,fleb
1020000000F0050,Bulon Cab. Redonda con Tuerca 3/8 2,250.49454877943992,fleb
1020000000F0056,Bulon Cab. Redonda con Tuerca 3/8 2 1/4,266.22821164464,fleb
1020000000F0063,Bulon Cab. Redonda con Tuerca 3/8 2 1/2,276.1831974114232,fleb
1020000000F0070,Bulon Cab. Redonda con Tuerca 3/8 2 3/4,297.65587019907764,fleb
1020000000F0076,Bulon Cab. Redonda con Tuerca 3/8 3,313.28284058568005,fleb
1020000000F0082,Bulon Cab. Redonda con Tuerca 3/8 3 1/4,329.08968327815995,fleb
1020000000F0090,Bulon Cab. Redonda con Tuerca 3/8 3 1/2,343.28656977047996,fleb
1020000000F0100,Bulon Cab. Redonda con Tuerca 3/8 4,376.14431221919995,fleb
1020000000F0110,Bulon Cab. Redonda con Tuerca 3/8 4 1/2,414.49054171392004,fleb
1020000000F0125,Bulon Cab. Redonda con Tuerca 3/8 5,438.93260402544,fleb
1020000000F0140,Bulon Cab. Redonda con Tuerca 3/8 5 1/2,466.30185942816,fleb
1020000000F0155,Bulon Cab. Redonda con Tuerca 3/8 6,510.5756549325599,fleb
1020000000F0175,Bulon Cab. Redonda con Tuerca 3/8 7,561.9478936831201,fleb
1020000000F0200,Bulon Cab. Redonda con Tuerca 3/8 8,624.3702863529601,fleb
1020000000F0225,Bulon Cab. Redonda con Tuerca 3/8 9,690.1589510776801,fleb
1020000000F0250,Bulon Cab. Redonda con Tuerca 3/8 10,752.8740630566399,fleb
1020000000G0038,Bulon Cab. Redonda con Tuerca 7/16 1 1/2,303.47674373015997,fleb
1020000000G0050,Bulon Cab. Redonda con Tuerca 7/16 2,346.53704788871363,fleb
1020000000G0056,Bulon Cab. Redonda con Tuerca 7/16 2 1/4,390.8706406110954,fleb
1020000000G0063,Bulon Cab. Redonda con Tuerca 7/16 2 1/2,401.67866591533027,fleb
1020000000G0070,Bulon Cab. Redonda con Tuerca 7/16 2 3/4,411.6194565262049,fleb
1020000000G0076,Bulon Cab. Redonda con Tuerca 7/16 3,432.59977945291956,fleb
1020000000G0090,Bulon Cab. Redonda con Tuerca 7/16 3 1/2,477.2806326927091,fleb
1020000000G0100,Bulon Cab. Redonda con Tuerca 7/16 4,519.2412785461385,fleb
1020000000G0110,Bulon Cab. Redonda con Tuerca 7/16 4 1/2,563.8642550330267,fleb
1020000000G0125,Bulon Cab. Redonda con Tuerca 7/16 5,605.8827776393572,fleb
1020000000G0140,Bulon Cab. Redonda con Tuerca 7/16 5 1/2,648.8123486644798,fleb
1020000000G0155,Bulon Cab. Redonda con Tuerca 7/16 6,692.50070555064,fleb
1020000000G0175,Bulon Cab. Redonda con Tuerca 7/16 7,776.5344414076474,fleb
1020000000G0250,Bulon Cab. Redonda con Tuerca 7/16 10,1028.288402136285,fleb
1020000000G0275,Bulon Cab. Redonda con Tuerca 7/16 11,1112.1485145721006,fleb
1020000000H0038,Bulon Cab. Redonda con Tuerca 1/2 1 1/2,400.58637453072,fleb
1020000000H0050,Bulon Cab. Redonda con Tuerca 1/2 2,520.45493161536,fleb
1020000000H0063,Bulon Cab. Redonda con Tuerca 1/2 2 1/2,530.9928267436801,fleb
1020000000H0070,Bulon Cab. Redonda con Tuerca 1/2 2 3/4,561.7119511209339,fleb
1020000000H0076,Bulon Cab. Redonda con Tuerca 1/2 3,592.4310754981879,fleb
1020000000H0090,Bulon Cab. Redonda con Tuerca 1/2 3 1/2,653.8693242526955,fleb
1020000000H0100,Bulon Cab. Redonda con Tuerca 1/2 4,700.3309470695999,fleb
1020000000H0110,Bulon Cab. Redonda con Tuerca 1/2 4 1/2,760.1920457846402,fleb
1020000000H0125,Bulon Cab. Redonda con Tuerca 1/2 5,879.40198442376,fleb
1020000000H0140,Bulon Cab. Redonda con Tuerca 1/2 5 1/2,880.13378269656,fleb
1020000000H0155,Bulon Cab. Redonda con Tuerca 1/2 6,940.0858680343295,fleb
1020000000H0175,Bulon Cab. Redonda con Tuerca 1/2 7,1143.28844159544,fleb
1020000000H0200,Bulon Cab. Redonda con Tuerca 1/2 8,1273.5316860899654,fleb
107NC00000D0012,Bulon G5 UNC. 5 1/4 1/2,39.36203519244,fleb
107NC00000D0016,Bulon G5 UNC. 5 1/4 5/8,43.54012831342525,fleb
107NC00000D0019,Bulon G5 UNC. 5 1/4 3/4,47.648779443479995,fleb
