codigo,tipo,diametro,paso,largo,grado,sistema,precio_unitario,proveedor,descripcion
codigo,otro,,,,,metrico,precio_unitario,proveedor,descripcion
AC8X30,allen,8,1.25,30,12.9,metrico,237.54,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 30 12.9"
AC8X35,allen,8,1.25,35,12.9,metrico,267.5,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 35 12.9"
AC8X40,allen,8,1.25,40,12.9,metrico,294.25,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 40 12.9"
AC8X45,allen,8,1.25,45,12.9,metrico,304.95,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 45 12.9"
AC8X50,allen,8,1.25,50,12.9,metrico,317.79,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 50 12.9"
AC8X55,allen,8,1.25,55,12.9,metrico,376.64,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 55 12.9"
AC8X60,allen,8,1.25,60,12.9,metrico,416.23,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 60 12.9"
AC8X70,allen,8,1.25,70,12.9,metrico,448.33,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 70 12.9"
AC8X80,allen,8,1.25,80,12.9,metrico,526.44,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 80 12.9"
AC8X90,allen,8,1.25,90,12.9,metrico,598.13,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 90 12.9"
AC8X100,allen,8,1.25,100,12.9,metrico,795.01,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 100 12.9"
AC8X110,allen,8,1.25,110,12.9,metrico,852.79,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 110 12.9"
AC8X120,allen,8,1.25,120,12.9,metrico,924.48,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 120 12.9"
AC8X130,allen,8,1.25,130,12.9,metrico,953.37,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 130 12.9"
AC8X140,allen,8,1.25,140,12.9,metrico,1041.11,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 140 12.9"
AC8X150,allen,8,1.25,150,12.9,metrico,1444.5,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 150 12.9"
AC8X160,allen,8,1.25,160,12.9,metrico,2022.3,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 160 12.9"
AC8X170,allen,8,1.25,170,12.9,metrico,2311.2,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 170 12.9"
AC8X180,allen,8,1.25,180,12.9,metrico,2600.1,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 180 12.9"
