codigo,descripcion,precio_unitario,proveedor
AC8X30,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 30 12.9",237.54,trusoni
AC8X35,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 35 12.9",267.5,trusoni
AC8X40,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 40 12.9",294.25,trusoni
AC8X45,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 45 12.9",304.95,trusoni
AC8X50,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 50 12.9",317.79,trusoni
AC8X55,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 55 12.9",376.64,trusoni
AC8X60,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 60 12.9",416.23,trusoni
AC8X70,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 70 12.9",448.33,trusoni
AC8X80,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 80 12.9",526.44,trusoni
AC8X90,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 90 12.9",598.13,trusoni
AC8X100,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 100 12.9",795.01,trusoni
AC8X110,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 110 12.9",852.79,trusoni
AC8X120,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 120 12.9",924.48,trusoni
AC8X130,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 130 12.9",953.37,trusoni
AC8X140,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 140 12.9",1041.11,trusoni
AC8X150,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 150 12.9",1444.5,trusoni
AC8X160,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 160 12.9",2022.3,trusoni
AC8X170,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 170 12.9",2311.2,trusoni
AC8X180,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 180 12.9",2600.1,trusoni
AC8X200,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 200 12.9",3210.0,trusoni
AC10X16,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 16 12.9",303.88,trusoni
AC10X20,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 20 12.9",307.09,trusoni
AC10X25,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 25 12.9",312.44,trusoni
AC10X30,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 30 12.9",329.56,trusoni
AC10X35,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 35 12.9",363.8,trusoni
AC10X40,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 40 12.9",437.63,trusoni
AC10X45,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 45 12.9",462.24,trusoni
AC10X50,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 50 12.9",485.78,trusoni
AC10X60,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 60 12.9",548.91,trusoni
AC10X70,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 70 12.9",677.31,trusoni
AC10X80,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 80 12.9",832.46,trusoni
AC10X90,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 90 12.9",924.48,trusoni
AC10X100,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 100 12.9",963.0,trusoni
AC10X110,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 110 12.9",1091.4,trusoni
AC10X120,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 120 12.9",1308.61,trusoni
AC10X130,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 130 12.9",1444.5,trusoni
AC10X140,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 140 12.9",1674.55,trusoni
